,Which category are your registering for?,Nonprofit - Company,Nonprofit - Address 1,Nonprofit - Address 2,City,State,ZIP,Contact Person - First Name,Contact Person - Last Name,Phone,Email
411691868,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Ann Bancroft Foundation,808 14th Street S.E.,,Minneapolis,MN,55414-1516,Katherine,Cohen,(651)470-2882,klcohen1@comcast.net
410886463,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Arc West Central,810 4th Ave. S #134,,Moorhead,MN,56560,Donna,Atherton,(218)233-5949,arcwcm@702com.net
020541438,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",ARENA DANCES,528 Hennepin Avenue,#511,Minneapolis,MN,55403,Mathew,Janczewski,612-804-0238,arenadances@gmail.com
320122026,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Ashland Productions,2100 White Bear Avenue,,Maplewood,MN,55109,Laurel ,Hannula,651-274-8020,lhannula@ashlandproductions.org
411913782,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Assistive Technology of Minnesota - EquipALife ,5563 Pioneer Creek Drive,PO Box 310,Maple Plain,MN,55359,Carol,Fury,763.479.8239,cfury@equipalife.org
411765140,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Avenues for Homeless Youth,1708 Oak Park Avenue North,,Minneapolis,MN,55411,Deborah,Loon,(612)522-1690,Deb@avenuesforyouth.org
411878604,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Basic Needs Inc. of South Washington County d/b/a Stone Soup Thrift Shop,950 3rd St,Ste. 101,St. Paul Park,MN,55071,Majel,Carroll,612-860-1123,majelcarroll@q.com
410967891,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Belwin Conservancy,1553 Stagecoach Trail South,,Afton,MN,55001,Ned,Phillips,(651) 436-5189,ned.phillips@belwin.org
363501479,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Big Brothers Big Sisters of Southern MN,545 Dunnel Drive,,owatonna,MN,55060,Michelle,Redman,(507)409-1300,Michelle.redman@bbbsofsouthernmn.org
237289370,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Blue Earth County Historical Society,415 Cherry Street,,Mankato,MN,56001,Jessica,Potter,(507)345-5566,bechs@hickorytech.net
260707663,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Blue Water Theatre Company,"1900 Shenandoah Court, Unit G",,Plymouth,MN,55447,Charlie,Leonard,(763)232-1025,charlie.leonard@bluewatertheatre.com
352195668,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Boundary Waters Experience,175 Kawishiwi Trail,,Ely,MN,55731,Mike,Keller,(218)360-1567,bwxtrips@me.com
411945875,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Boys & Girls Club of Blooming Prairie,401 4th Street SE,PO Box 433,Blooming Prairie,MN,55917,Mary,Sherman-Ahrens,507-583-6699,msherman@bgclubroch.org
411929446,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Boys & Girls Clubs of the Leech Lake Area,PO Box 817,208 Central Avenue,Cass Lake,MN,56633-0817,Kelly,Lammon,2183358144,klammon@bgcleechlake.com
411922877,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Bridges Kinship Mentoring,703 N Pokegama Ave,,Grand Rapids,MN,55744,Nancy,Roth,218-326-4700,kinship@bridgesmentoring.org
721538846,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Bridges of Hope,PO Box 742,,Brainerd,MN,56401,Kassie,Heisserer,(218)825-7682,kassie@bridgesofhopemn.org
411415484,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",CAER  (Community Aid of Elk River),19279 Watson St NW,,Elk River,MN,55330,Jenny,Gray,(763)441-1020,jenny.caer@izoom.net
741484491,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",CAF Red Tail Squadron,"310 Airport Road, Hangar 3",,South St. Paul,MN,55075,LaVone,Kay,(888)928-0188,info@redtail.org
450553731,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",CAIR-Minnesota,2021 E. Hennepin Avenue,Suite 407,Minneapolis,MN,55413,Nausheena,Hussain,6122063360,nhussain@cair.com
201240867,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",CALS,717 Delaware St. S.E. ,,Minneapolis ,MN,55414,Kari ,Lappe,612-624-5901,kdlappe@calsprogram.org
320165702,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Camp Companion, Inc.",PO Box 7478,,Rochester,MN,55903-7478,Denise,Pelleier,507-259-3086,denise.pelletier65@gmail.com
412014358,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Camp Odayin,P.O. box 2068,,Stillwater,MN,55082,Alison,Boerner,651.351.9185,info@campodayin.org
410967781,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Camp Olson YMCA,4160 Little Boy Rd NE,,Longville,MN,56655,Russell ,Link,218-363-2207,russ@campolson.org
410913854,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Camp Omega,22750 Lind Avenue,,Waterville,MN,56096,Bob,LaCroix,507-685-4266,bob@campomega.org
363529833,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Camp Onomia,14202 Shakopee Lake Road ,,Onamia,MN,56359,Jim,Schmidt,320-532-3767,jim@camponomia.org
411594165,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Can Do Canines,9400 Science Center Drive,,New Hope,MN,55428,Janet,Cobus,(763) 331-3000,jcobus@can-do-canines.org
020736402,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Cancer Legal Line,"366 Jackson Street, Suite 400",,St. Paul,MN,55101,Cati,Stone,651.472.5599,cati@cancerlegalline.org
411674744,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Cannon River Watershed Partnership ,8997 Eaves Ave.,,Northfield,MN,55057,Beth,Kallestad,(507) 786-3913,beth@crwp.net
593679703,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",CardioStart International,6110 Hartford St.,,Tampa,FL,33619,Janine,Henson,9524611440,janine.henson@cardiostart.org
270540451,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",CARE Clinic,1407 W 4th Street,,Red WIng,MN,55066,Julie,Malyon,651-388-1022,julie@careclinicrw.com
411949280,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Carmen Pampa Fund,1821 University Ave.,,St. Paul,MN,55104,Sarah,Mechtenberg,(651)641-1588,sarah@carmenpampafund.org
237275337,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Carpenter St. Croix Valley Nature Center,12805 St. Croix Trail S.,,Hastings,MN,55033,Jennifer,Vieth,651-437-4359,Jennifer@CarpenterNatureCenter.org
452580349,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Center for Earth, Energy and Democracy",216 Cecil St SE,,Minneapolis,MN,55414,Cecilia,Martinez,(612)276-5635,cmartinez@ceed.org
411771925,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Center for Hmong Arts and Talent,995 University Avenue West,Suite 220,Saint Paul,MN,55104,Sai,Vang,(651)603-6971,sai@aboutchat.org
410731799,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Centro Guadalupano at Holy Rosary Church,2424 18th Ave S.,,Minneapolis,MN,55404,Ginger,Graham,612-724-3651,vcgm.centro@gmail.com
411761589,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Children's Law Center of Minnesota,450 Syndicate St. N,Suite 315,St. Paul,MN,55104,Jessica,Passaro,651-644-4438,jpassaro@clcmn.org
411619315,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Children's Workshop Montessori,3021 Harbor Lane,,Plymouth,MN,55447,Nicholas,Stocco,(763)577-4244,nick@childrensworkshopmontessori.org
410959962,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Christ Lutheran Church,2959 Queen Avenue,,Slayton,MN,56172,Dawn,Mouw,(507)836-8291,slaytonchristlutheran@gmail.com
363184207,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Christian Life Ministries,2756 Lake Shore Ave.,,Little Canada,MN,55117,Ruth,Petermann,651-900-2333,ruth@clmonline.com
411599315,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Christians for Biblical Equality,122 W Franklin Ave Ste 218,,Minneapolis,MN,55404,Charity,Kroeker,612-872-6898,ckroeker@cbeinternational.org
274705172,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",CJ CRECIENDO JUNTOS,4221 UNIVERSITY AV NE ,,COLUMBI AHEIGHTS,MN,55421,CLEVER,CORDOA,7633504295,cjcreciendojuntos@hotmail.com
411798533,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Clouds in Water Zen Center,"308 Prince St., Suite 120",,St. Paul,MN,55101,Sosan,Flynn,(651)222-6968,sosan@cloudsinwater.org
411922311,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Community Celebration of Place,3357 36th Avenue South,Box 581601,Minneapolis,MN,55406,Larry,Long,(612) 237-7746,larrylong@communitycelebration.org
411952012,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Community Partners with Youth,1900 Seventh St NW,,New Brighton,MN,55443,Mary,Stewart,(651)633-6464,cpymn@cpymn.org
410967271,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Community Thread,2300 Orleans Street West,,Stillwater,MN,55082,Valerie,Jones,(651)439-7434,valerie@communitythreadmn.org
411400421,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Compatible Technology International,"800 Transfer Road, Suite 6",,St. Paul,MN,55114,Anne-Marie ,Hendrickson,(615)632-3912,anne-marie@compatibletechnology.org
410777926,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Concordia Lutheran Church - His Kids Child Care,1811 Bush Street,,Red Wing,MN,55066,Nancy,Wille,(651) 388-4526,hiskidschildcare@yahoo.com
010711547,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Connected Families,566 Bavaria Ln,,Chaska,MN,55318,Kali,hendrikson,612-269-1466,khendrikson@connectedfamilies.org
411631397,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Continental Ballet Company,1800 West Old Shakopee Road,,Bloomington,MN,55431,Genevieve,Spooner,952-563-8561,gspooner@continentalballet.com
411866804,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Cookie Cart,1119 West Broadway Ave,,Minneapolis,MN,55411,Anna,Bregier,612-521-0855x106,abregier@cookiecart.org
201723948,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Country Meadows,740 2nd Street SE,,Milaca,MN,56353,Patti,Morley,952-259-4466,pmorley@elimcare.org
411632978,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Crisis Line and Referral Service,P.O. Box 192,,Brainerd,MN,56401,Mary,Marana,218-851-3433,mary.crisisline@brainerd.net
410705826,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Crosier Fathers,PO Box 500,104 Crosier Drive North,Onamia,MN,56359,Gary,Feldhege,(320)532-3103,gfeldhege@crosier.org
411816453,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Cycles for Change,712 University Avenue West,,Saint Paul,MN,55104,Jason,Tanzman,612-232-2737,jason@cyclesforchange.org
411318150,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Dakota County Historical Society,130 3rd Avenue North,,South St. Paul,MN,55075,Chad,Roberts,651-552-7548,chad.roberts@co.dakota.mn.us
421552956,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Dakota Wicohan,280 N Centennial Drive,P.O. Box 2,Morton,MN,56270,Sharon,Pazi,(507)697-6272,dakotawicohan@gmail.com
411453521,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Damiano of Duluth, Inc",206 W 4th St,,Duluth,MN,55806,David,Benson,(218)722-8708,dbenson@damianocenter.org
411239770,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",DIST 2 COMMUNITY COUNCIL,1365,Prosperity Ave,SAINT PAUL,MN,55106,Lisa,Theis,6517742220,d2lisa@qwestoffice.net
522419510,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Dovetail Partners,"528 Hennepin Ave, Suite 703",,Minneapolis,MN,55403,Kathryn,Fernholz,612-333-0430,katie@dovetailinc.org
363578158,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",East Metro Women's Council,3521 Century Ave N,,White Bear Lake,MN,55110,Mary,Chung,(651)773-8401,mchung@emwc.org
043699678,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",East Side Learning Center,740 York Ave,,St. Paul,MN,55106,Audrey,Lindenfelser,(651)793-7331,audrey.lindenfelser@spps.org
261475578,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",ECHO Minnesota,125 Charles Avenue,,Saint Paul,MN,55103,Joanna,Olson,6517894337,olson@echominnesota.org
411835917,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",E-Democracy.org,3211 44th St E,,Minneapolis,MN,55406,Steven,Clift,6128228667,team@e-democracy.org
411991929,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Edina Education Fund,5701 Normandale Road,,Edina,MN,55424,Karen ,Nelson,952-848-4900,karnelson@edina.k12.mn.us
411694818,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Elim Care Inc.,7485 Office Ridge Circle,,Eden Prairie,MN,55344,Patti,Morley,952-259-4466,pmorley@elimcare.org
411974507,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Elim Children's Center,625 W. 31st Street,,Minneapolis,MN,55408,Patti,Morley,952-259-4466,pmorley@elimcare.org
208565677,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",EnerChange,2642 Irving Ave,,Minneapolis,MN,55408,Michael,TKach,9525628697,mtkach@enerchange.org
411308707,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Episcopal Group Homes, Inc",1011 Lake Street E,,Wayzata,MN,55391,Lisa,Scheinost,952-475-1621,lisa.egh@visi.com
260456090,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Erik's Ranch, INC.",7712 Gleason Road,,Edina,MN,55439,Michele,Kridler,860-918-4055,michele@eriksranch.org
134253358,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Everyday Miracles,1121 Jackson St NE,#121,Minneapolis,MN,55413,Debby,Prudhomme,612-353-6293,info@everyday-miracles.org
411846579,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Exultate,P.O. Box 22314,,Eagan,MN,55122,Thomas,Rossin,651-707-0727,trossin@comcast.net
272374187,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Feeding Our Communities Partners,PO Box 5275,,Mankato,MN,56002,Melinda,Wedzina,(507)381-4348,focp.mn@gmail.com
411876072,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Feline Rescue, Inc",593 Fairview Ave North,,Saint Paul,MN,55104,Margaret ,Owen Thorpe,651-297-9293,margaret@owenideas.com
410711475,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",First Presbyterian Church,503 W 6th Street,,Red Wing,MN,55066,Jennifer,Beck,(651)385-7866,jab.jennifer@yahoo.com
411737291,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",First Witness Child Abuse Resource Center,4 West 5th St,,Duluth,MN,55806,Krysta,Sather,218-727-8353,ksather@firstwitness.org
201331977,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Food for Hungry Minds,3108 CHICAGO AVE,,MINNEAPOLIS,MN,55407,Margaret,Koch,612-819-8801,margiekoch@gmail.com
411361351,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Forecast Public Art,2300 Myrtle Avenue,Suite 160,Saint Paul,MN,55114,Molly,Balcom Raleigh,(651)641-1128,molly@forecastpublicart.org
411843609,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Franconia Sculpture Park,29836 St. Croix Trail,,Shafer,MN,55074,John ,Hock,651-257-6668,Johnhock@franconia.org
